prenom,nom,age,genre,filiere,annee_etude,bac_serie,mention_bac,boursier,taux_presence,nb_absences,heures_travail_sem,participation_cours,nb_devoirs_rendus,note_partiel_mi,utilisation_biblio,groupe_etude,ressources_ligne,job_etudiant,heures_job_sem,distance_univ,transport,soutien_famille,stress_percu,sante_percue,sport_regulier,espace_travail,note_finale,mention
Abdoul,Osmas,21,M,Lettres,L1,Technologique,2,0,53.1,5,9,4,9,5.66,0,0,1,0,0,13.1,Transport en commun,0,9,10,1,1,5.29,Faible
Mouniratou,Moenza,20,F,Gestion,L2,Général,4,1,63.2,4,16,2,7,13.36,1,1,0,1,12,1.8,Vélo/Marche,4,2,7,0,1,13.54,Bon
Francis,Paire,19,M,Mathematiques,L1,Général,1,1,57.3,7,6,3,3,8.99,2,1,0,1,25,24.5,Voiture,2,8,8,1,1,3.41,Faible
Francis,Aguigah,21,M,Mathematiques,L3,Technologique,3,0,83.5,3,3,3,9,10.65,1,0,0,1,12,2.1,Vélo/Marche,2,10,5,1,1,7.9,Faible
Hadja,Moenza,23,F,Psychologie,M1,Général,2,0,73.9,3,4,5,8,14.37,2,0,1,0,0,9.3,Transport en commun,3,8,10,1,0,12.42,Bon
Yassine,Motondo masengi,22,M,Gestion,M1,Technologique,1,0,100.0,1,6,2,6,4.03,0,1,1,0,0,29.4,Voiture,3,3,5,1,1,6.83,Faible
Malik-Adjhacy,Gbizie,21,M,Lettres,L3,Technologique,2,1,85.8,2,4,1,9,7.21,4,0,1,1,8,11.3,Transport en commun,3,4,6,1,1,7.58,Faible
Youssouf,Piquer,21,M,Gestion,L1,Général,1,0,100.0,2,21,0,4,10.29,1,0,1,0,0,33.2,Voiture,3,8,4,1,1,6.82,Faible
Lyes,Chan,22,M,Lettres,M1,Général,2,0,51.5,5,3,2,9,16.41,4,0,1,1,30,7.5,Transport en commun,2,5,7,1,0,8.62,Moyen
Vavo,Yassir,24,F,Psychologie,M1,Général,3,0,22.0,8,16,3,9,16.39,1,0,0,1,20,56.9,Logement sur place,2,4,6,1,1,9.24,Moyen
Eric,Keita,21,M,Droit,L1,Général,2,0,77.9,3,11,1,11,15.65,3,0,0,1,25,4.2,Vélo/Marche,4,5,4,0,1,11.04,Moyen
Rawaa,Zebriquane,22,F,Gestion,L3,Général,2,1,76.0,4,12,2,5,2.47,1,1,0,1,25,0.7,Vélo/Marche,3,3,7,0,1,5.23,Faible
Grace,Chanwin,19,F,Psychologie,L1,Général,2,0,72.0,5,6,4,12,6.81,2,1,1,0,0,37.1,Voiture,3,5,7,0,1,7.76,Faible
Jihad,Azerguerras,22,M,Psychologie,M1,Général,0,0,75.5,2,13,3,12,6.97,1,0,1,1,20,25.1,Voiture,3,3,6,1,1,7.18,Faible
Souha,Crespo,25,F,Lettres,M2,Général,1,0,56.0,5,6,0,7,10.59,2,0,0,1,20,4.8,Vélo/Marche,5,7,4,1,1,4.89,Faible
Simeon,Tobada,20,M,Droit,L1,Général,2,0,83.0,3,16,0,12,3.76,2,1,0,1,25,75.3,Logement sur place,4,4,7,1,0,6.73,Faible
Jihad,Comparot,23,M,Mathematiques,M1,Général,1,0,85.8,2,16,0,11,14.97,2,0,1,1,20,12.6,Transport en commun,0,6,5,1,1,10.07,Moyen
Manal,Zouaoui,21,F,Informatique,L3,Général,1,1,54.8,6,10,5,8,3.22,2,0,0,0,0,54.3,Logement sur place,4,5,8,0,0,2.06,Faible
Lena,Obambi mbongo ngala,25,F,Psychologie,M2,Technologique,2,1,68.3,3,11,4,7,14.72,0,0,0,1,8,12.7,Transport en commun,5,6,6,0,1,12.37,Bon
Bintou,Ghedhoui,20,F,Gestion,L2,Général,1,1,69.3,3,13,4,8,14.11,1,1,1,0,0,11.5,Transport en commun,3,7,8,1,1,11.46,Moyen
Mikael,Monasse,22,M,Psychologie,M1,Général,1,1,63.3,6,13,4,12,6.64,2,0,1,0,0,10.7,Transport en commun,5,6,7,1,1,5.84,Faible
Mbayame,Khalil,19,M,Droit,L1,Professionnel,2,1,55.4,5,16,3,12,15.6,0,0,1,1,20,7.3,Transport en commun,3,4,7,0,0,13.95,Bon
Delicia,Adam,20,F,Informatique,L2,Général,1,0,74.2,3,16,2,8,9.53,1,0,1,0,0,13.7,Transport en commun,3,4,9,0,1,10.17,Moyen
Georges,Iamundo,21,M,Droit,L1,Général,4,1,78.2,4,11,2,9,8.55,1,0,1,1,20,10.8,Transport en commun,2,10,5,0,0,7.27,Faible
Louis,Giraud,24,M,Gestion,M2,Général,3,1,64.2,5,9,3,11,9.2,1,1,0,0,0,0.7,Vélo/Marche,4,8,5,0,1,8.55,Moyen
Louange,Zouaoui,22,F,Lettres,M1,Général,2,1,56.5,5,15,4,11,9.52,2,1,1,0,0,5.4,Transport en commun,2,5,8,0,1,11.78,Moyen
Harold,Essabe mbome oye,22,M,Sciences,M1,Général,0,0,80.6,3,10,2,7,9.87,2,0,1,0,0,4.3,Vélo/Marche,1,4,4,1,1,7.21,Faible
Mouniratou,Ahmat,23,F,Droit,M2,Général,3,0,61.7,4,12,3,10,9.96,4,0,1,0,0,36.4,Voiture,0,2,5,0,0,9.66,Moyen
Brandon,Zebriquane,19,M,Informatique,L1,Général,3,1,69.1,5,14,5,8,7.42,1,1,1,1,20,16.4,Transport en commun,2,8,4,0,1,9.94,Moyen
Souha,Toubol,21,F,Gestion,L2,Technologique,3,1,67.0,4,16,1,9,8.3,4,0,1,1,12,26.0,Voiture,3,4,9,1,0,9.51,Moyen
Georges,Khelouat,20,M,Sciences,L1,Général,0,1,93.9,2,12,4,9,8.63,2,1,1,1,8,56.6,Logement sur place,3,8,5,1,1,10.71,Moyen
Francoise,Fontbonne,20,F,Sciences,L1,Général,2,0,62.5,4,8,1,12,17.16,4,1,0,0,0,18.6,Transport en commun,2,7,6,0,1,11.41,Moyen
Louange,Mbengue,20,F,Sciences,L1,Technologique,3,0,100.0,0,20,2,8,8.63,3,0,0,1,12,72.9,Logement sur place,5,8,4,1,1,11.85,Moyen
Omar,Attias,20,M,Informatique,L2,Général,2,0,86.0,3,19,1,9,8.39,2,1,1,1,25,6.7,Transport en commun,2,7,6,0,1,9.61,Moyen
Christa,Dushime,21,F,Mathematiques,L1,Technologique,2,1,100.0,0,6,3,4,16.56,1,0,1,0,0,3.7,Vélo/Marche,3,5,7,1,1,15.34,Excellent
Marie,Dengue matsogni,20,F,Gestion,L1,Général,2,0,84.6,3,6,3,10,9.58,1,0,1,1,16,9.3,Transport en commun,1,6,8,1,1,9.48,Moyen
Lea,Kamrach,20,F,Psychologie,L1,Technologique,2,0,70.5,4,7,2,7,7.42,1,1,1,1,25,11.5,Transport en commun,2,6,4,1,1,6.32,Faible
Safiatou,Coly,19,F,Mathematiques,L1,Général,0,1,59.3,4,15,4,5,6.59,5,1,1,0,0,40.6,Voiture,0,5,6,0,1,4.7,Faible
Paola,Senin,23,F,Mathematiques,M2,Technologique,2,0,68.3,4,20,3,12,5.4,5,1,1,1,30,14.8,Transport en commun,3,2,9,1,1,8.56,Moyen
Evadnee,Giraud,22,F,Droit,M1,Professionnel,0,1,97.8,0,8,3,9,12.86,3,1,1,0,0,6.2,Transport en commun,4,1,9,1,1,14.22,Bon
Hugo,Jida,23,M,Informatique,M2,Général,2,0,73.2,3,12,1,4,3.94,4,0,0,0,0,24.4,Voiture,2,7,6,0,1,6.05,Faible
Louis,Ait mahammed,22,M,Droit,L2,Général,1,1,84.6,3,7,4,7,15.92,4,0,1,0,0,12.7,Transport en commun,3,5,7,0,1,13.56,Bon
Abdoul,Ayachi,21,M,Sciences,L1,Général,2,0,77.3,3,20,1,9,10.45,2,0,1,1,16,3.2,Vélo/Marche,0,8,10,1,1,11.39,Moyen
Salim,Hounhuedo,23,M,Psychologie,M1,Général,1,1,78.0,3,15,1,9,9.14,2,1,0,0,0,15.5,Transport en commun,4,5,5,1,1,9.91,Moyen
Kouaho,Toubol,22,M,Mathematiques,L2,Général,2,1,78.6,4,7,1,8,9.93,1,0,1,0,0,43.6,Voiture,4,5,3,0,1,8.88,Moyen
Jey,Yassir,20,M,Informatique,L1,Général,3,0,81.9,2,0,2,1,12.56,1,0,1,1,30,33.3,Voiture,1,8,6,1,1,7.77,Faible
Mondesire,Ghedhoui,20,F,Sciences,L1,Général,1,0,61.0,4,16,4,8,9.01,0,1,1,1,25,15.9,Transport en commun,3,9,7,0,1,8.55,Moyen
Salim,Laclau,21,M,Psychologie,L1,Général,0,0,69.6,4,8,2,12,10.07,1,0,1,1,16,8.5,Transport en commun,5,5,5,0,0,6.87,Faible
Youssouf,Sakkaki,20,M,Sciences,L1,Général,1,1,78.9,2,15,2,12,14.8,2,0,0,0,0,1.6,Vélo/Marche,3,3,9,1,1,14.36,Bon
Christa,Barry,20,F,Informatique,L2,Général,3,1,76.6,6,12,4,7,12.12,1,0,1,1,30,11.4,Transport en commun,3,8,7,0,0,11.26,Moyen
Akoete,Ali,22,M,Psychologie,L3,Général,2,0,66.6,3,2,3,12,6.05,4,0,1,0,0,25.1,Voiture,3,5,6,0,0,4.88,Faible
Anny,Bertolini,19,F,Psychologie,L1,Général,2,1,80.7,2,7,3,5,8.11,1,0,0,1,30,8.0,Transport en commun,3,4,6,0,1,8.61,Moyen
Japhet,Bertolini,21,M,Sciences,L1,Général,0,0,61.7,5,9,1,7,4.03,0,0,1,1,30,4.8,Vélo/Marche,5,5,5,1,0,1.67,Faible
Jessica,El malki,24,F,Psychologie,M1,Général,2,1,54.4,6,8,3,11,13.14,3,0,0,1,20,48.2,Voiture,5,4,8,1,1,11.77,Moyen
Louange,Cherigui,20,F,Psychologie,L1,Général,3,1,78.7,2,12,1,11,13.54,2,0,1,1,16,31.0,Voiture,4,7,6,1,1,14.3,Bon
Akoete,Loukou Brou,20,M,Sciences,L2,Général,3,0,54.8,6,13,5,9,7.25,1,0,1,1,25,18.3,Transport en commun,3,3,5,0,1,7.14,Faible
Augustin,Ayachi,23,M,Informatique,M1,Général,2,0,78.5,2,20,3,6,19.56,2,0,1,1,20,2.6,Vélo/Marche,3,6,9,1,1,16.19,Excellent
Louise,Gbizie,21,F,Gestion,L1,Technologique,0,0,42.7,7,13,3,6,20.0,1,0,1,0,0,2.8,Vélo/Marche,3,6,6,0,1,8.04,Moyen
Mouniratou,Mouissi amoussou,20,F,Informatique,L1,Général,0,0,62.4,4,18,1,7,10.89,4,0,1,0,0,2.0,Vélo/Marche,5,4,4,1,0,7.7,Faible
Jessica,Jida,21,F,Gestion,L2,Général,0,0,68.8,3,9,2,6,7.77,2,0,0,1,25,17.2,Transport en commun,4,9,10,1,1,5.0,Faible
Ikram,El malki,20,F,Gestion,L2,Technologique,1,0,48.3,8,17,1,9,11.84,0,1,1,0,0,2.2,Vélo/Marche,3,7,8,0,1,9.27,Moyen
Jey,Redombo-Agnorogoule,23,M,Informatique,L3,Technologique,1,0,68.0,3,9,2,9,7.68,2,1,0,1,16,33.3,Voiture,0,5,7,1,1,6.48,Faible
Harold,Sall,23,M,Mathematiques,M1,Professionnel,1,0,93.0,3,6,2,6,14.41,4,0,0,1,12,89.2,Logement sur place,3,5,6,0,1,10.54,Moyen
Yassine,Senin,19,M,Informatique,L1,Général,1,0,53.7,5,6,3,8,11.43,2,0,1,0,0,8.2,Transport en commun,5,7,6,0,1,6.46,Faible
Syrine,Bertolini,22,F,Psychologie,L3,Général,4,1,68.5,5,0,1,2,11.71,3,1,1,1,12,10.9,Transport en commun,3,6,6,0,1,7.99,Faible
Louange,Terkmani,20,F,Droit,L2,Technologique,2,0,100.0,0,15,3,10,17.48,1,1,1,1,8,22.4,Voiture,2,9,6,1,1,15.69,Excellent
Louis,Ovono etoubembe,19,M,Informatique,L1,Général,3,1,57.0,4,5,0,11,8.45,4,1,0,1,16,49.8,Voiture,0,7,6,1,1,6.71,Faible
Steph,Sossoumihen,22,M,Droit,L3,Général,2,1,96.4,0,18,1,7,8.6,3,0,1,0,0,40.4,Voiture,3,6,7,0,1,13.07,Bon
Cheikh,Yassir,21,M,Lettres,L1,Technologique,0,0,69.5,5,10,4,7,14.06,3,1,1,1,20,1.1,Vélo/Marche,5,6,6,0,1,9.31,Moyen
Sabridass,Bertolini,22,M,Mathematiques,L2,Technologique,3,0,75.6,2,3,3,10,9.2,1,1,0,0,0,3.3,Vélo/Marche,5,10,7,0,1,7.81,Faible
Khady,Jday,19,F,Informatique,L1,Professionnel,1,1,94.7,1,5,2,9,16.89,4,0,1,1,20,25.3,Voiture,5,3,7,0,1,13.24,Bon
Dourra,Goursolle,22,F,Lettres,L2,Professionnel,2,1,66.2,3,12,0,11,14.6,2,0,0,1,30,21.0,Voiture,4,3,6,1,1,11.86,Moyen
Manon,Attias,20,F,Psychologie,L2,Technologique,1,0,84.1,2,2,3,7,9.39,4,0,1,0,0,2.6,Vélo/Marche,3,5,7,1,1,6.86,Faible
Seyed,Chanwin,24,M,Sciences,M1,Général,4,0,88.2,2,14,2,7,3.92,1,0,1,1,25,12.6,Transport en commun,3,9,8,0,1,9.89,Moyen
Youssouf,Sagnon,20,M,Informatique,L1,Technologique,1,0,63.6,4,3,2,8,5.28,0,0,1,0,0,27.3,Voiture,3,0,3,0,1,3.83,Faible
Abigail,Lourenco,22,F,Informatique,L2,Général,1,0,61.8,5,7,3,6,8.97,1,1,0,1,20,4.4,Vélo/Marche,4,1,8,1,1,6.1,Faible
Anny,Lakhal,20,F,Gestion,L2,Général,4,0,70.3,5,12,2,8,12.34,2,0,0,1,30,36.9,Voiture,3,5,5,0,0,8.23,Moyen
Hadja,Terkmani,21,F,Mathematiques,L3,Technologique,0,0,70.8,4,13,1,6,14.99,2,0,0,0,0,1.0,Vélo/Marche,4,10,6,0,1,8.83,Moyen
Sophie,Chan,23,F,Mathematiques,L3,Général,2,1,56.7,4,15,4,10,9.97,2,1,0,0,0,27.4,Voiture,1,6,2,1,1,12.06,Bon
Awa,Jday,22,F,Mathematiques,L3,Général,2,0,63.7,5,4,3,7,7.42,2,0,0,1,16,17.2,Transport en commun,2,3,8,1,1,6.49,Faible
Louise,Barry,22,F,Psychologie,M1,Général,3,0,18.5,9,9,0,10,10.27,3,0,0,0,0,6.8,Transport en commun,4,7,5,1,1,4.35,Faible
Kouaho,Ulukuz,22,M,Droit,M1,Technologique,4,0,68.7,5,16,3,12,10.88,0,0,0,0,0,23.0,Voiture,5,9,6,1,0,13.18,Bon
Mohamed,Fontbonne,20,M,Gestion,L2,Général,4,0,88.3,3,9,1,10,15.76,1,0,1,0,0,27.4,Voiture,3,4,7,0,1,16.12,Excellent
Mathieu,Senin,20,M,Droit,L2,Technologique,0,0,47.3,7,12,4,9,15.55,4,0,1,0,0,48.9,Voiture,0,6,3,1,0,9.79,Moyen
Belicia,Lehie-Bi,22,M,Mathematiques,M1,Général,3,0,66.6,5,12,3,6,6.99,2,1,0,1,30,8.3,Transport en commun,5,6,7,0,0,5.85,Faible
Lea,Dione,24,F,Gestion,M2,Technologique,2,1,100.0,0,18,1,12,12.53,2,0,1,1,20,20.9,Voiture,4,7,8,1,1,16.07,Excellent
Yowan,Sakkaki,24,M,Mathematiques,M1,Technologique,2,0,73.6,4,9,0,12,7.56,2,1,0,0,0,16.6,Transport en commun,3,4,7,1,1,8.63,Moyen
Souha,Fontbonne,21,F,Sciences,L2,Général,1,1,95.7,0,4,0,9,7.66,2,0,1,0,0,13.4,Transport en commun,3,7,6,1,1,9.6,Moyen
Abigail,Zouaoui,20,F,Droit,L1,Général,2,1,57.8,5,6,3,8,14.75,0,1,1,0,0,39.8,Voiture,3,7,7,1,1,10.84,Moyen
Balla,Chan,20,M,Sciences,L2,Général,4,0,81.2,3,12,3,7,10.04,2,1,0,1,20,0.5,Vélo/Marche,3,7,7,1,0,12.17,Bon
Nehuan,Aguigah,22,M,Gestion,L3,Professionnel,4,0,55.1,4,3,1,12,13.23,5,1,0,1,25,6.0,Transport en commun,4,2,8,0,1,9.89,Moyen
Mondesire,Ali,20,F,Sciences,L2,Général,2,0,80.4,2,8,1,11,12.83,2,0,0,1,20,13.9,Transport en commun,2,2,9,1,1,12.46,Bon
Sabridass,Krim,21,M,Informatique,L2,Professionnel,0,1,87.5,3,11,2,7,10.5,0,1,1,1,20,3.5,Vélo/Marche,1,4,6,1,1,6.85,Faible
Thomas,Sakkaki,22,M,Droit,M1,Général,1,1,83.7,2,7,1,12,12.07,3,1,1,1,20,42.9,Voiture,0,6,7,1,1,9.84,Moyen
Kouaho,Richir,20,M,Lettres,L2,Technologique,3,1,68.5,3,13,2,12,11.57,1,1,0,1,25,18.8,Transport en commun,2,7,6,0,1,10.38,Moyen
Marie Paul,Andriamampianina,23,M,Gestion,M1,Technologique,2,0,78.4,3,15,3,9,6.43,0,0,1,0,0,11.7,Transport en commun,1,3,8,0,1,9.31,Moyen
Sara,Et touil mendez,21,F,Lettres,L2,Technologique,2,1,78.6,3,13,3,8,12.65,4,0,0,1,12,30.3,Voiture,2,6,8,0,1,12.49,Bon
Wahiba,Kape amani,22,F,Sciences,L2,Professionnel,0,0,84.7,4,3,5,7,8.12,0,0,0,1,16,10.8,Transport en commun,0,8,6,0,1,4.33,Faible
Belicia,Sy,22,F,Informatique,L2,Général,2,0,72.0,3,11,5,11,6.74,4,0,0,0,0,14.7,Transport en commun,2,7,8,1,1,10.59,Moyen
Catherine,Martinez,24,F,Sciences,M1,Général,2,0,88.9,3,12,3,8,14.05,1,1,1,1,12,0.5,Vélo/Marche,2,4,7,0,0,12.32,Bon
Manal,Yassir,20,F,Mathematiques,L1,Technologique,4,0,97.0,1,9,3,8,8.55,3,1,1,1,25,8.2,Transport en commun,0,5,7,0,1,11.75,Moyen
Abdoul,Hounhuedo,20,M,Sciences,L1,Technologique,2,1,68.9,3,13,5,9,15.02,2,1,1,1,8,2.7,Vélo/Marche,3,3,5,0,1,16.75,Excellent
Khady,Osmas,23,F,Psychologie,M2,Général,1,0,74.7,3,12,1,7,14.97,1,0,1,0,0,21.1,Voiture,3,9,7,1,1,10.61,Moyen
Sophie,Ait mahammed,21,F,Psychologie,L1,Général,2,0,59.5,7,11,0,12,8.99,2,0,0,1,25,11.7,Transport en commun,1,7,6,1,1,5.64,Faible
Francoise,Jida,21,F,Lettres,L3,Général,0,0,79.4,3,6,0,11,14.86,5,0,1,0,0,6.5,Transport en commun,3,2,8,1,1,10.52,Moyen
Rama,Tourret,21,F,Lettres,L3,Général,4,1,79.5,3,11,3,9,9.32,3,0,1,1,20,11.4,Transport en commun,5,8,5,0,1,10.58,Moyen
Koussaila,Makila,20,M,Informatique,L2,Général,1,1,74.9,3,20,3,7,10.54,2,1,1,1,20,4.2,Vélo/Marche,5,7,7,0,1,9.25,Moyen
Mbayame,Agbagno,21,M,Psychologie,L3,Général,2,0,76.1,2,9,2,7,12.68,5,0,1,1,8,46.6,Voiture,0,8,6,0,1,12.12,Bon
Thomas,Agbagno,21,M,Mathematiques,L1,Technologique,1,0,100.0,2,16,3,7,18.55,1,1,0,0,0,1.0,Vélo/Marche,4,4,7,0,1,15.76,Excellent
Olafemi,M'jahad,21,M,Gestion,L3,Général,2,0,27.8,10,11,3,6,14.38,0,0,0,1,20,36.1,Voiture,3,5,7,0,1,4.97,Faible
Safiatou,Dahouede,21,F,Mathematiques,L2,Général,2,1,66.1,3,7,1,10,10.58,0,1,0,0,0,12.9,Transport en commun,1,4,5,1,1,8.68,Moyen
Paola,Badaoui,22,F,Informatique,L3,Général,2,1,68.5,3,10,2,7,11.19,3,0,1,1,25,17.4,Transport en commun,2,10,9,0,1,8.42,Moyen
Hafizou,Mbengue,20,M,Sciences,L1,Général,1,0,97.3,2,11,0,7,4.78,3,0,1,1,20,6.5,Transport en commun,2,4,5,1,0,5.32,Faible
Magnificath,M'jahad,23,F,Informatique,L3,Technologique,1,1,81.6,4,14,1,7,14.62,2,0,1,0,0,61.2,Logement sur place,3,3,8,1,1,11.8,Moyen
Railey,Rakotonjanahary,19,M,Sciences,L1,Professionnel,1,0,82.0,4,23,4,12,14.21,4,0,1,0,0,6.0,Transport en commun,4,4,4,0,1,14.48,Bon
Hugo,El alaoui es sousy,21,M,Mathematiques,L1,Général,2,1,94.2,1,11,4,7,11.88,2,0,0,1,30,16.0,Transport en commun,4,5,6,1,1,12.29,Bon
Steph,El alaoui es sousy,19,M,Informatique,L1,Technologique,0,0,71.1,7,5,4,12,13.53,1,1,1,0,0,90.4,Logement sur place,2,9,10,1,1,10.14,Moyen
Nicolas,Rakotonjanahary,21,M,Lettres,L1,Technologique,2,0,84.4,3,3,3,8,3.1,0,0,1,1,12,38.3,Voiture,2,6,6,1,1,4.78,Faible
Manon,Garcia,24,F,Informatique,M1,Technologique,3,0,65.5,6,9,4,6,6.69,4,0,1,0,0,13.8,Transport en commun,2,8,7,1,1,10.67,Moyen
Francis,Ouattara,19,M,Mathematiques,L1,Général,3,0,57.1,5,5,3,10,17.65,0,1,1,0,0,83.6,Logement sur place,3,6,10,0,1,14.85,Bon
Marie,Ganda-Te-Grembombo,25,F,Sciences,M2,Professionnel,2,1,100.0,1,14,3,11,9.82,2,0,1,1,16,21.8,Voiture,5,5,7,1,1,12.87,Bon
Kenza,Ait mahammed,23,F,Informatique,M2,Général,2,0,79.9,3,14,3,7,13.68,1,0,1,1,30,4.2,Vélo/Marche,4,3,7,0,1,10.37,Moyen
Lyes,Lakhal,22,M,Psychologie,L3,Général,0,1,84.3,3,10,3,9,7.96,1,1,1,1,16,9.4,Transport en commun,5,9,8,1,1,7.67,Faible
Carla,Ayachi,20,F,Informatique,L1,Général,2,1,56.7,5,14,2,10,9.12,2,0,1,1,16,7.3,Transport en commun,4,8,4,0,1,8.59,Moyen
Rama,Khelouat,21,F,Mathematiques,L2,Général,3,0,82.2,3,11,3,9,17.85,1,1,0,1,16,7.6,Transport en commun,3,8,6,0,0,15.46,Excellent
Mbayame,Schwartz,24,M,Sciences,M1,Général,1,0,100.0,2,20,2,8,10.2,4,1,1,1,30,25.7,Voiture,3,8,7,1,0,8.41,Moyen
Naela,Sakkaki,21,F,Mathematiques,L2,Général,2,0,69.6,4,14,3,11,12.79,1,1,0,0,0,15.8,Transport en commun,3,4,4,0,1,12.3,Bon
Abdoul,Ganda-Te-Grembombo,19,M,Informatique,L1,Général,3,1,53.9,8,15,2,8,11.3,2,1,1,0,0,0.7,Vélo/Marche,3,6,9,0,1,9.58,Moyen
Hugo,Yassir,22,M,Gestion,L3,Technologique,3,0,76.9,3,4,2,7,11.74,3,0,0,0,0,37.8,Voiture,4,8,8,0,0,11.45,Moyen
Mathieu,Jday,23,M,Mathematiques,M1,Technologique,1,0,57.4,4,5,5,5,11.61,2,0,1,0,0,6.3,Transport en commun,3,8,8,1,1,7.99,Faible
Wahiba,Yassir,24,F,Psychologie,M1,Général,2,0,49.1,6,13,2,5,3.29,4,1,1,0,0,105.0,Logement sur place,2,6,9,1,1,1.56,Faible
Lena,Tall,19,F,Mathematiques,L1,Technologique,1,1,62.2,4,3,2,10,12.61,1,0,0,0,0,55.5,Logement sur place,4,10,8,1,1,8.08,Moyen
Yacine,Fall,23,M,Psychologie,L3,Technologique,0,0,66.1,4,8,1,9,8.76,0,1,0,1,20,50.8,Logement sur place,4,7,6,1,1,2.7,Faible
Seyed,Pham Huu,21,M,Droit,L1,Technologique,4,0,58.2,5,17,4,11,17.56,0,1,1,0,0,30.0,Voiture,3,8,4,1,1,16.93,Excellent
Rawaa,Schwartz,19,F,Gestion,L1,Général,3,0,95.2,1,8,3,12,7.86,4,1,1,0,0,4.5,Vélo/Marche,4,6,6,0,0,15.12,Excellent
Georges,Gbizie,24,M,Droit,M1,Technologique,3,0,100.0,1,5,3,8,9.01,5,0,0,1,16,13.7,Transport en commun,1,5,6,0,0,11.53,Moyen
Henoc,AdjoAwada,19,M,Gestion,L1,Professionnel,0,1,83.9,3,14,4,11,20.0,1,0,0,0,0,4.6,Vélo/Marche,3,8,8,1,0,14.92,Bon
Abigail,Kamrach,20,F,Droit,L1,Technologique,3,0,80.1,3,21,2,8,13.55,2,0,1,0,0,5.4,Transport en commun,0,7,7,0,1,12.77,Bon
Esther,Tchassama,19,F,Informatique,L1,Général,2,1,71.7,4,7,1,9,7.06,0,0,1,0,0,17.0,Transport en commun,0,6,4,0,1,7.56,Faible
Mohamed,Yassir,22,M,Sciences,M1,Général,1,1,59.7,5,17,1,9,11.47,0,1,0,0,0,0.8,Vélo/Marche,3,4,8,1,1,10.58,Moyen
Mageda,El alaoui es sousy,22,F,Gestion,M1,Général,2,0,99.6,1,6,3,12,6.16,2,1,1,0,0,62.8,Logement sur place,2,8,9,1,1,9.6,Moyen
